Club ID,Club,Terminal ID,Terminal Priority,Club's Players,Clubs' Rounds,Terminal's Players,Terminal's Rounds,Terminal Type,Ownership Type,Operating System,Modem Type,Mobile Number,Connectivity Type,Card Reader Type,Date of First Use,Terminal Distribution Date,Current Date,Terminal Age,Monthly Working Days,Estimated Online Hours (10hr/day),Actual Offline Hours (10hr/day),Total Offline Hours (10hr/day),Terminal Priority Weight,Club Priority Weight,Terminal Priority Rank,Club Priority Rank
1,BLAIR ATHOLL,5300000464,100,129,6279,317,1017,Mecer X22S,HNA,64 bit Windows 10 Home,N/A,N/A,Club Internet,Magtek 21040108,13.04.2017,13.04.2017,13.01.2021,3 year(s) 9 month(s),314,3140,1076.99,1270.59,0%,0%,231,209
2,BRYANSTON COUNTRY CLUB,5300000256,50,1563,30614,446,2056,Club Machine,Club,Unknown,None,N/A,Club Internet,Unknown,,01.07.2010,13.01.2021,0 year(s) 0 month(s),366,3660,1356.52,1356.52,0.01%,0.01%,19,8
2,BRYANSTON COUNTRY CLUB,5300000648,50,1563,30614,72,174,Club Machine,Club,Unknown,None,N/A,Club Internet,Unknown,,01.07.2010,13.01.2021,0 year(s) 0 month(s),366,3660,1852.59,1852.59,0.01%,0.01%,17,8
3,CMR GOLF CLUB,5300000285,100,371,15722,442,2832,Lenovo M810Z,HNA,64 bit Windows 10 Pro,None,N/A,Club Internet,Gigatek MSR250HK,22.08.2019,22.08.2019,13.01.2021,1 year(s) 4 month(s),314,3140,1339.63,1576.6,0%,0%,105,95
4,THE COUNTRY CLUB JOHANNESBURG,5300000486,50,3143,61653,438,2384,Mecer X22S,Club,64 bit Windows 10 Home,None,N/A,Club Internet,Gigatek MSR250HK,03.12.2018,03.12.2018,13.01.2021,2 year(s) 1 month(s),366,3660,2753.83,2753.83,0.01%,0.03%,1,1
4,THE COUNTRY CLUB JOHANNESBURG,5300000487,50,3143,61653,201,776,HP Compaq Elite 8300,HNA,64 bit Windows 10 Pro,None,N/A,Club Internet,Gigatek MSR250HK,26.11.2019,26.11.2019,13.01.2021,1 year(s) 1 month(s),366,3660,1905.75,1905.75,0.01%,0.03%,2,1
6,DAINFERN COUNTRY CLUB,5300000325,33,543,21397,197,926,MSI Windtop 1941,HNA,32 bit Windows 7 Home Basic SP1 ,N/A,N/A,Club Internet,Champtek MR800,07.07.2013,07.07.2013,13.01.2021,7 year(s) 6 month(s),314,3140,539.38,639.67,0%,0%,81,76
8,EAGLE CANYON,5300000321,50,2438,21366,171,413,Club Machine,Club,Unknown,None,N/A,Club Internet,Unknown,,01.07.2010,13.01.2021,0 year(s) 0 month(s),314,3140,2626.34,3076.34,0.01%,0.01%,9,5
8,EAGLE CANYON,5300000394,50,2438,21366,306,1339,MECER X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Gigatek MSR250HK,14.03.2018,23.10.2019,13.01.2021,2 year(s) 9 month(s),314,3140,1377.29,1610.35,0.01%,0.01%,12,5
9,EBOTSE LINKS,5300000193,100,340,13185,212,695,MSI AP190,HNA,64 bit Windows 8.1,None,N/A,Club Internet,Champtek MR800,30.09.2015,30.09.2015,13.01.2021,5 year(s) 3 month(s),314,3140,779.74,950.8,0%,0%,140,126
10,EMFULENI COUNTRY CLUB,5300000710,100,355,11836,175,509,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Magtek 21040108,06.03.2018,06.03.2018,13.01.2021,2 year(s) 10 month(s),366,3660,1291.23,1291.23,0%,0%,131,119
11,GERMISTON GOLF CLUB,5300000006,100,637,11917,240,836,MSI AP190,HNA,64 bit Windows 8.1,Vodafone K3772,726230757,Vodacom,Magtek 21040108,01.07.2015,01.07.2015,13.01.2021,5 year(s) 6 month(s),314,3140,2525.73,3003.87,0%,0%,89,82
12,GLENDOWER GOLF CLUB,5300000266,100,411,19142,369,1567,Mecer X22S,HNA,64 bit Windows 10 Pro,None,N/A,Club Internet,Partner MSR213U,17.08.2016,29.07.2020,13.01.2021,4 year(s) 4 month(s),314,3140,1200.73,1657.94,0%,0%,90,84
13,GLENVISTA COUNTRY CLUB,5300000650,100,466,16720,279,1409,MSI AP190,,64 bit Windows 8.1,None,N/A,Club Internet,Magtek 21040108,19.05.2015,19.05.2015,13.01.2021,5 year(s) 7 month(s),366,3660,1657.51,1657.51,0%,0%,91,85
14,HOUGHTON GOLF CLUB,5300000206,100,495,18437,110,323,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Magtek 21040108,31.08.2016,20.01.2020,13.01.2021,4 year(s) 4 month(s),314,3140,2563.5,3000.81,0%,0%,70,68
16,Jackal Creek Golf Club,5300000524,100,453,17210,534,2976,MSI AP200,HNA,32bit Windows 8.1 Embedded ,None,N/A,Club Internet,Gigatek MSR250HK,19.01.2016,19.01.2016,13.01.2021,4 year(s) 11 month(s),314,3140,930.55,1240.83,0%,0%,101,92
17,KILLARNEY COUNTRY CLUB,5300000007,50,322,16465,283,1088,HP Compaq Elite 8300,HNA,64 bit Windows 10 Pro,None,N/A,Club Internet,Gigatek MSR250HK,04.12.2019,04.12.2019,13.01.2021,1 year(s) 1 month(s),314,3140,2100.45,2465.72,0%,0.01%,96,21
17,KILLARNEY COUNTRY CLUB,5300000047,50,322,16465,11,15,MSI AP200,HNA,32 bit Windows 8.1 Embedded,None,N/A,Club Internet,Magtek 21040108,19.02.2016,19.02.2016,13.01.2021,4 year(s) 10 month(s),314,3140,1880.19,2201.51,0%,0.01%,100,21
18,KRUGERSDORP GOLF CLUB,5300000334,100,799,22093,669,4286,MSI AP190,HNA,64 bit Windows 8.1,None,N/A,Club Internet,Magtek 21040108,18.02.2015,18.02.2015,13.01.2021,5 year(s) 10 month(s),314,3140,613.69,729.95,0%,0%,59,56
