Club ID,Club,Terminal ID,Terminal Priority,Club's Players,Clubs' Rounds,Terminal's Players,Terminal's Rounds,Terminal Type,Ownership Type,Operating System,Modem Type,Mobile Number,Connectivity Type,Card Reader Type,Date of First Use,Terminal Distribution Date,Current Date,Terminal Age,Monthly Working Days,Estimated Online Hours (10hr/day),Actual Offline Hours (10hr/day),Total Offline Hours (10hr/day),Terminal Priority Weight,Club Priority Weight,Terminal Priority Rank,Club Priority Rank
1,BLAIR ATHOLL,5300000464,100,137,734,21,47,Mecer X22S,HNA,64 bit Windows 10 Home,N/A,N/A,Club Internet,Magtek 21040108,13.04.2017,13.04.2017,04.05.2021,4 year(s) 0 month(s),26,260,64.43,74.43,0%,0%,226,209
2,BRYANSTON COUNTRY CLUB,5300000256,50,1625,3418,60,176,Club Machine,Club,Unknown,None,N/A,Club Internet,Unknown,,01.07.2010,04.05.2021,0 year(s) 0 month(s),30,300,0.21,0.21,0.01%,0.01%,18,8
2,BRYANSTON COUNTRY CLUB,5300000648,50,1625,3418,4,11,Club Machine,Club,Unknown,None,N/A,Club Internet,Unknown,,01.07.2010,04.05.2021,0 year(s) 0 month(s),30,300,46.44,46.44,0.01%,0.01%,16,8
3,CMR GOLF CLUB,5300000285,100,356,1759,88,258,Lenovo M810Z,HNA,64 bit Windows 10 Pro,None,N/A,Club Internet,Gigatek MSR250HK,22.08.2019,22.08.2019,04.05.2021,1 year(s) 8 month(s),26,260,0,0,0%,0%,132,116
